"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
;"DateTimeAssignment to ConfiguredAssemblyEffectivity (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Contract (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ContractAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to DateAndPersonAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to DateTimeAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Descriptor (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to DescriptorRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Document (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to DocumentAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to DocumentDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to DocumentDefinitionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to DocumentVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to DocumentVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Effectivity (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to EffectivityAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Event (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to EventAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ExternalClass (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ExternalClassSystem (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ExternalOwlClass (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ExternalPropertyDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to File (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to FrozenAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to GeometricRepresentation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Identifier (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IdentifierRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IdentifierSet (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IdentifierString (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IndividualAssemblyRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IndividualPartTestResult (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IndividualPartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IndividualPartVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IndividualPartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IndividualPartViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to InformationUsageRight (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to InformationUsageRightAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to MaterialIdentification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to MaterialPropertyAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ModelPropertyAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Occurrence (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to OccurrenceRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Organization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to OrganizationRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Part (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PartRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PartToIndividualPartAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PartVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PartVersionToIndividualPartVersionAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PartViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PartViewToIndividualPartViewAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Person (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PersonInOrganization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PersonInOrganizationRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ProcessOperationDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ProcessOperationOccurrence (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ProcessOperationResourceAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ProcessPlan (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ProductConcept (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ProductConfiguration (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Project (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ProjectAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PropertyDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PropertyDefinitionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PropertyDefinitionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PropertyDefinitionString (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PropertyValue (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PropertyValueAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to PropertyValueRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Proxy (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to RequirementAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to RequirementSource (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to RequirementVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to RequirementVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to RequirementView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to RequirementViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SecurityClassification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SecurityClassificationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SetMembership (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Specification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SpecificationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SpecificationCategory (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SpecificationCategoryAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SpecificationConditionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SpecificationInclusion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SpecificationInclusionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to StyledModel (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to SubsetMember (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to TimeIntervalAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ViewOccurrenceRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to WorkOrder (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to WorkOrderAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to WorkRequest (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to WorkRequestAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to Class (as role)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ClassString (as role)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ExternalClass (as role)";"NO MAPPING PROVIDED";;;
;"DateTimeAssignment to ExternalOwlClass (as role)";"NO MAPPING PROVIDED";;;
"Duration";;"NO MAPPING PROVIDED";;;
;"time";"NO MAPPING PROVIDED";;;
;"unit";"NO MAPPING PROVIDED";;;
"Event";;"NO MAPPING PROVIDED";;;
;"Event to DateTimeString (as actualStartDate)";"NO MAPPING PROVIDED";;;
