BO;Attribute;ARM Element;Source;Rules;Reference path
;ModelPropertyAssignment to SpecificationConditionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to SpecificationInclusionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to TimeIntervalAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ViewOccurrenceRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkOrder (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkOrderAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkRequest (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkRequestAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkRequestRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Classification (as classifiedAs);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to CharacterString (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Descriptor (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to DescriptorSet (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to LocalizedString (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to TranslatedStringSet (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Identifier (as id);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to IdentifierSet (as id);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to IdentifierString (as id);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Class (as role);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ClassString (as role);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ExternalClass (as role);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ExternalOwlClass (as role);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Organization (as validityContext);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProductClass (as validityContext);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProductConfiguration (as validityContext);NO MAPPING PROVIDED;;;
MomentsOfInertia;;NO MAPPING PROVIDED;;;
;MomentsOfInertia to GeometricCoordinateSpace (as definedIn);NO MAPPING PROVIDED;;;
;MomentsOfInertia to NumericalValue (as inertiaValue);NO MAPPING PROVIDED;;;
;MomentsOfInertia to AxisPlacement (as referenceAxisPlacement);NO MAPPING PROVIDED;;;
NumericalContext;;NO MAPPING PROVIDED;;;
;accuracy;NO MAPPING PROVIDED;;;
;NumericalContext to Classification (as classifiedAs);NO MAPPING PROVIDED;;;
;NumericalContext to CharacterString (as description);NO MAPPING PROVIDED;;;
;NumericalContext to Descriptor (as description);NO MAPPING PROVIDED;;;
;NumericalContext to DescriptorSet (as description);NO MAPPING PROVIDED;;;
;NumericalContext to LocalizedString (as description);NO MAPPING PROVIDED;;;
;NumericalContext to TranslatedStringSet (as description);NO MAPPING PROVIDED;;;
;significantDigits;NO MAPPING PROVIDED;;;
NumericalValue;;NO MAPPING PROVIDED;;;
;valueComponent;NO MAPPING PROVIDED;;;
;NumericalValue to NumericalContext (as valueContext);NO MAPPING PROVIDED;;;
PrecisionQualifier;;NO MAPPING PROVIDED;;;
;PrecisionQualifier to ExternalItem (as sameAs);NO MAPPING PROVIDED;;;
;PrecisionQualifier to ExternalOwlObject (as sameAs);NO MAPPING PROVIDED;;;
;PrecisionQualifier to Proxy (as sameAs);NO MAPPING PROVIDED;;;
;PrecisionQualifier to ProxyString (as sameAs);NO MAPPING PROVIDED;;;
;significantDigits;NO MAPPING PROVIDED;;;
PreDefinedTypeQualifier;;NO MAPPING PROVIDED;;;
;PreDefinedTypeQualifier to Class (as name);NO MAPPING PROVIDED;;;
;PreDefinedTypeQualifier to ClassString (as name);NO MAPPING PROVIDED;;;
;PreDefinedTypeQualifier to ExternalClass (as name);NO MAPPING PROVIDED;;;
;PreDefinedTypeQualifier to ExternalOwlClass (as name);NO MAPPING PROVIDED;;;
PropertyDefinition;;NO MAPPING PROVIDED;;;
;PropertyDefinition to ExternalUnit (as allowedUnits);NO MAPPING PROVIDED;;;
;PropertyDefinition to Unit (as allowedUnits);NO MAPPING PROVIDED;;;
;PropertyDefinition to Classification (as classifiedAs);NO MAPPING PROVIDED;;;
;PropertyDefinition to CharacterString (as description);NO MAPPING PROVIDED;;;
;PropertyDefinition to Descriptor (as description);NO MAPPING PROVIDED;;;
;PropertyDefinition to DescriptorSet (as description);NO MAPPING PROVIDED;;;
;PropertyDefinition to LocalizedString (as description);NO MAPPING PROVIDED;;;
;PropertyDefinition to TranslatedStringSet (as description);NO MAPPING PROVIDED;;;
;PropertyDefinition to Identifier (as id);NO MAPPING PROVIDED;;;
;PropertyDefinition to IdentifierSet (as id);NO MAPPING PROVIDED;;;
;PropertyDefinition to IdentifierString (as id);NO MAPPING PROVIDED;;;
;PropertyDefinition to Class (as propertyType);NO MAPPING PROVIDED;;;
;PropertyDefinition to ClassString (as propertyType);NO MAPPING PROVIDED;;;
