"Status","URL","Redirected to","Link Text","On Page","Time stamp"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/product_data_quality_definition/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/product_data_quality_criteria/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/product_data_quality_inspection_result/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/shape_data_quality_criteria/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/shape_data_quality_inspection_result/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/composite_surface/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/numeric_expression/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/elementary_function/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/analytical_model/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/design_product_data_management/sys/e_exp.htm","3 Nov  17:39:56"
