"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
;"WorkRequestAssignment to RequirementView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to RequirementViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to WorkRequest (as assignedWorkRequest)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to Class (as role)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to ClassString (as role)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to ExternalClass (as role)";"NO MAPPING PROVIDED";;;
;"WorkRequestAssignment to ExternalOwlClass (as role)";"NO MAPPING PROVIDED";;;
"WorkRequestRelationship";;"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to WorkRequest (as related)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to WorkRequest (as relating)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to Class (as relationType)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to ClassString (as relationType)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to ExternalClass (as relationType)";"NO MAPPING PROVIDED";;;
;"WorkRequestRelationship to ExternalOwlClass (as relationType)";"NO MAPPING PROVIDED";;;
