BO;Attribute;ARM Element;Source;Rules;Reference path
;RequirementSatisfactionAssertion to IndividualPart (as satisfiedBy);PATH;;;"Requirement_assignment
Requirement_assignment.assigned_to ->
requirement_assignment_item 
requirement_assignment_item = Product 
Product =>
Product_as_individual"
;RequirementSatisfactionAssertion to IndividualPartVersion (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product_version 
Product_version =>
Product_as_individual_version"
;RequirementSatisfactionAssertion to IndividualPartView (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product_view_definition
Product_view_definition =>
Product_as_individual_view"
;RequirementSatisfactionAssertion to Part (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = /MAPPING_OF(Part)/"
;RequirementSatisfactionAssertion to PartVersion (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = /MAPPING_OF(PartVersion)/"
;RequirementSatisfactionAssertion to PartView (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = /MAPPING_OF(PartView)/"
;RequirementSatisfactionAssertion to ProductConfiguration (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = /MAPPING_OF(ProductConfiguration)/"
;RequirementSatisfactionAssertion to Project (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to Requirement (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product 
Product =>
Requirement"
;RequirementSatisfactionAssertion to RequirementVersion (as satisfiedBy);PATH;;;"Requirement_assignment
Requirement_assignment.assigned_to ->
requirement_assignment_item 
requirement_assignment_item = Product_version
Product_version =>
Requirement_version"
;RequirementSatisfactionAssertion to RequirementView (as satisfiedBy);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_by -> 
requirement_satisfaction_item 
requirement_satisfaction_item = Product_view_definition 
Product_view_definition =>
Requirement_view_definition"
;RequirementSatisfactionAssertion to WorkRequest (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to RequirementView (as satisfiedRequirement);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.satisfied_requirement -> 
Requirement_view_definition"
RequirementSequenceRelationship;;Requirement_version_relationship;442;;"Requirement_version_relationship <=
Product_version_relationship
{Product_version_relationship.relation_type = 'requirement sequence relationship'}"
;RequirementSequenceRelationship to ClassString (as relationType);Product_version_relationship.relation_type;442;;"Requirement_version_relationship <= 
Product_version_relationship
Product_version_relationship.relation_type"
RequirementSource;;Requirement_source;442;;
;RequirementSource to Classification (as classifiedAs);PATH;;;"Requirement_source
/classifiedAs_AS_Classification(Requirement_source)/"
;RequirementSource to CharacterString (as description);Requirement_source.description;442;;
;RequirementSource to Descriptor (as description);PATH;;;"Requirement_source
/description_AS_Descriptor(Requirement_source)/"
;RequirementSource to DescriptorSet (as description);PATH;;;"Requirement_source
/description_AS_DescriptorSet(Requirement_source)/"
;RequirementSource to LocalizedString (as description);PATH;;;"Requirement_source
/description_AS_LocalizedString(Requirement_source)/"
;RequirementSource to TranslatedStringSet (as description);PATH;;;"Requirement_source
/description_AS_TranslatedStringSet(Requirement_source)/"
;RequirementSource to Identifier (as id);PATH;;;"Requirement_source
/id_AS_Identifier(Requirement_source)/"
;RequirementSource to IdentifierSet (as id);PATH;;;"Requirement_source
/id_AS_IdentifierSet(Requirement_source)/"
;RequirementSource to IdentifierString (as id);Requirement_source.id;442;;
;RequirementSource to ExternalItem (as sameAs);PATH;;;"Requirement_source
/sameAs_AS_ExternalItem(Requirement_source)/"
;RequirementSource to ExternalOwlObject (as sameAs);PATH;;;"Requirement_source
/sameAs_AS_ExternalOWLObject(Requirement_source)/"
;RequirementSource to Proxy (as sameAs);PATH;;;"Requirement_source
/sameAs_AS_Proxy(Requirement_source)/"
;RequirementSource to ProxyString (as sameAs);PATH;;;"Requirement_source
/sameAs_AS_ProxyString(Requirement_source)/"
;RequirementSource to Activity (as source);NO MAPPING;;;
;RequirementSource to ActivityMethod (as source);NO MAPPING;;;
;RequirementSource to ActivityMethodAssignment (as source);NO MAPPING;;;
;RequirementSource to AlternativeSolution (as source);NO MAPPING;;;
;RequirementSource to Breakdown (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Breakdown 
Breakdown <=
Product"
;RequirementSource to BreakdownElement (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product
Product =>
Breakdown_element"
;RequirementSource to BreakdownElementVersion (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product_version 
Product_version =>
Breakdown_element_version"
;RequirementSource to BreakdownElementView (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product_view_definition
Product_view_definition =>
Breakdown_element_definition"
;RequirementSource to BreakdownVersion (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product_version
Product_version =>
Breakdown_version"
;RequirementSource to Contract (as source);NO MAPPING;;;
;RequirementSource to Document (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product
Product =>
Document"
;RequirementSource to DocumentDefinition (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product_view_definition
Product_view_definition =>
Document_definition"
