BO;Attribute;ARM Element;Source;Rules;Reference path
ActivityMethodRelationship;;"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to Classification (as classifiedAs);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to CharacterString (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to Descriptor (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to DescriptorSet (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to LocalizedString (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to TranslatedStringSet (as description);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to Identifier (as id);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to IdentifierSet (as id);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to IdentifierString (as id);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to ActivityMethod (as related);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to ActivityMethod (as relating);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to Class (as relationType);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to ClassString (as relationType);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to ExternalClass (as relationType);"NO MAPPING PROVIDED";;;
;ActivityMethodRelationship to ExternalOwlClass (as relationType);"NO MAPPING PROVIDED";;;
ActivityRelationship;;"NO MAPPING PROVIDED";;;
;ActivityRelationship to Classification (as classifiedAs);"NO MAPPING PROVIDED";;;
;ActivityRelationship to CharacterString (as description);"NO MAPPING PROVIDED";;;
;ActivityRelationship to Descriptor (as description);"NO MAPPING PROVIDED";;;
;ActivityRelationship to DescriptorSet (as description);"NO MAPPING PROVIDED";;;
;ActivityRelationship to LocalizedString (as description);"NO MAPPING PROVIDED";;;
;ActivityRelationship to TranslatedStringSet (as description);"NO MAPPING PROVIDED";;;
;ActivityRelationship to Identifier (as id);"NO MAPPING PROVIDED";;;
;ActivityRelationship to IdentifierSet (as id);"NO MAPPING PROVIDED";;;
;ActivityRelationship to IdentifierString (as id);"NO MAPPING PROVIDED";;;
;ActivityRelationship to Activity (as related);"NO MAPPING PROVIDED";;;
;ActivityRelationship to Activity (as relating);"NO MAPPING PROVIDED";;;
;ActivityRelationship to Class (as relationType);"NO MAPPING PROVIDED";;;
;ActivityRelationship to ClassString (as relationType);"NO MAPPING PROVIDED";;;
;ActivityRelationship to ExternalClass (as relationType);"NO MAPPING PROVIDED";;;
;ActivityRelationship to ExternalOwlClass (as relationType);"NO MAPPING PROVIDED";;;
ActualActivity;;"NO MAPPING PROVIDED";;;
;ActualActivity to DateTimeString (as actualEndDate);"NO MAPPING PROVIDED";;;
;ActualActivity to DateTimeString (as actualStartDate);"NO MAPPING PROVIDED";;;
DirectedActualActivity;;"NO MAPPING PROVIDED";;;
;DirectedActualActivity to WorkOrder (as directive);"NO MAPPING PROVIDED";;;
DirectedPlannedActivity;;"NO MAPPING PROVIDED";;;
;DirectedPlannedActivity to WorkOrder (as directive);"NO MAPPING PROVIDED";;;
ElementDelivery;;"NO MAPPING PROVIDED";;;
;ElementDelivery to Activity (as associatedActivity);"NO MAPPING PROVIDED";;;
;ElementDelivery to Activity (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to ActivityAssignment (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to ActivityMethod (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to ActivityMethodAssignment (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to ActivityRelationship (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to AddressAssignment (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to AlternatePartRelationship (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to AlternativeSolution (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to ApprovalAssignment (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to AssemblyOccurrenceRelationshipSubstitution (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to AssemblyViewRelationshipSubstitution (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to AssignmentObjectRelationship (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to Breakdown (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to BreakdownElement (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to BreakdownElementRealization (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to BreakdownElementVersion (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to BreakdownElementVersionRelationship (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to BreakdownElementView (as deliverableElements);"NO MAPPING PROVIDED";;;
;ElementDelivery to BreakdownElementViewRelationship (as deliverableElements);"NO MAPPING PROVIDED";;;
