"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path";"Remarks";"Issues against ARM"
;"EffectivityAssignment to ProcessPlan (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProcessPlanRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProductClass (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProductClassRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProductConfiguration (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProductConfigurationRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProductDesignAssociation (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProjectAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProjectRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PropertyDefinition (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PropertyDefinitionAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PropertyDefinitionAssignmentRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PropertyDefinitionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PropertyDefinitionString (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PropertyValue (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PropertyValueAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PropertyValueAssignmentRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to PropertyValueRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Proxy (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProxyRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ProxyString (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Requirement (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to RequirementAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to RequirementRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to RequirementSource (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to RequirementVersion (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to RequirementVersionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to RequirementView (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to RequirementViewRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to SecurityClassification (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to SecurityClassificationAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ShapeElementRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Specification (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to SpecificationAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to SpecificationCategory (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to SpecificationConditionAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to SpecificationInclusion (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to SpecificationInclusionAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to StyledModel (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to SuppliedObjectRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to TimeIntervalAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to TimeIntervalRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ViewOccurrenceRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to WorkOrder (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to WorkOrderAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to WorkOrderRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to WorkRequestAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to WorkRequestRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Classification (as classifiedAs)";"PATH";;;"#1: Effectivity_assignment
/classifiedAs_AS_Classification(Effectivity_assignment)/
#2: Ineffectivity_assignment
/classifiedAs_AS_Classification(Ineffectivity_assignment)/";;
;"EffectivityAssignment to CharacterString (as description)";"NO MAPPING";;;;"#1: Effectivity_assignment.description)
#2: (Ineffectivity_assignment.description)";".description attribute missing in Effectivity_assignment
.description attribute missing in Ineffectivity_assignment"
;"EffectivityAssignment to Descriptor (as description)";"PATH";;;"#1: Effectivity_assignment
/description_AS_Descriptor(Effectivity_assignment)/
#2: Ineffectivity_assignment
/description_AS_Descriptor(Ineffectivity_assignment)/";;
;"EffectivityAssignment to DescriptorSet (as description)";"PATH";;;"#1: Effectivity_assignment
/description_AS_DescriptorSet(Effectivity_assignment)/
#2: Ineffectivity_assignment
/description_AS_DescriptorSet(Ineffectivity_assignment)/";;
;"EffectivityAssignment to LocalizedString (as description)";"PATH";;;"#1: Effectivity_assignment
/description_AS_LocalizedString(Effectivity_assignment)/
#2: Ineffectivity_assignment
/description_AS_LocalizedString(Ineffectivity_assignment)/";;
;"EffectivityAssignment to TranslatedStringSet (as description)";"PATH";;;"#1: Effectivity_assignment
/description_AS_TranslatedStringSet(Effectivity_assignment)/
#2: Ineffectivity_assignment
/description_AS_TranslatedStringSet(Ineffectivity_assignment)/";;
;"effectivityIndication";"IDENTICAL MAPPING";;;;;
