BO;Attribute;ARM Element;Source;Rules;Reference path
;IndividualPartView to ProxyString (as sameAs);PATH;;;"Product_as_individual_view <=
Product_view_definition
/sameAs_AS_ProxyString(Product_view_definition)/"
IndividualPartViewRelationship;;View_definition_relationship;ISO 10303-442;;"View_definition_relationship
{View_definition_relationship.relation_type = 'individual part view relationship'}"
;IndividualPartViewRelationship to Classification (as classifiedAs);PATH;;;"View_definition_relationship
/classifiedAs_AS_Classification(View_definition_relationship)/"
;IndividualPartViewRelationship to CharacterString (as description);View_definition_relationship.description;ISO 10303-442;;
;IndividualPartViewRelationship to Descriptor (as description);PATH;;;"View_definition_relationship
/description_AS_Descriptor(View_definition_relationship)/"
;IndividualPartViewRelationship to DescriptorSet (as description);PATH;;;"View_definition_relationship
/description_AS_DescriptorSet(View_definition_relationship)/"
;IndividualPartViewRelationship to LocalizedString (as description);PATH;;;"View_definition_relationship
/description_AS_LocalizedString(View_definition_relationship)/"
;IndividualPartViewRelationship to TranslatedStringSet (as description);PATH;;;"View_definition_relationship
/description_AS_TranslatedStringSet(View_definition_relationship)/"
;IndividualPartViewRelationship to Identifier (as id);PATH;;;"View_definition_relationship
/id_AS_Identifier(View_definition_relationship)/"
;IndividualPartViewRelationship to IdentifierSet (as id);PATH;;;"View_definition_relationship
/id_AS_IdentifierSet(View_definition_relationship)/"
;IndividualPartViewRelationship to IdentifierString (as id);View_definition_relationship.id;ISO 10303-442;;
;IndividualPartViewRelationship to IndividualPartView (as related);PATH;;;"View_definition_relationship
View_definition_relationship.related_view -> 
Product_as_individual_view"
;IndividualPartViewRelationship to IndividualPartView (as relating);PATH;;;"View_definition_relationship
View_definition_relationship.relating_view -> 
Product_as_individual_view"
;IndividualPartViewRelationship to Class (as relationType);PATH;;;"View_definition_relationship
/TYPEINFO_AS_Class(View_definition_relationship, 'relation type')/"
;IndividualPartViewRelationship to ClassString (as relationType);View_definition_relationship.relation_type;ISO 10303-442;;
;IndividualPartViewRelationship to ExternalClass (as relationType);PATH;;;"View_definition_relationship
/TYPEINFO_AS_ExternalClass(View_definition_relationship, 'relation type')/"
;IndividualPartViewRelationship to ExternalOwlClass (as relationType);PATH;;;"View_definition_relationship
/TYPEINFO_AS_ExternalOwlClass(View_definition_relationship, 'relation type')/"
PartToIndividualPartAssociation;;Product_design_to_individual;ISO 10303-442;;
;PartToIndividualPartAssociation to IndividualPart (as associatedInduvidualPart);PATH;;;"Product_design_to_individual
Product_design_to_individual.individual_product -> 
Product_as_individual"
;PartToIndividualPartAssociation to Part (as associatedPart);PATH;;;"Product_design_to_individual
Product_design_to_individual.product_design -> 
Product =>
Part"
;PartToIndividualPartAssociation to Classification (as classifiedAs);PATH;;;"Product_design_to_individual
/classifiedAs_AS_Classification(Product_design_to_individual)/"
;PartToIndividualPartAssociation to CharacterString (as description);PATH;;;"Product_design_to_individual
/classifiedAs_AS_Classification(Product_design_to_individual)/"
;PartToIndividualPartAssociation to Descriptor (as description);PATH;;;"Product_design_to_individual
/description_AS_Descriptor(Product_design_to_individual)/"
;PartToIndividualPartAssociation to DescriptorSet (as description);PATH;;;"Product_design_to_individual
/description_AS_DescriptorSet(Product_design_to_individual)/"
;PartToIndividualPartAssociation to LocalizedString (as description);PATH;;;"Product_design_to_individual
/description_AS_LocalizedString(Product_design_to_individual)/"
;PartToIndividualPartAssociation to TranslatedStringSet (as description);PATH;;;"Product_design_to_individual
/description_AS_TranslatedStringSet(Product_design_to_individual)/"
;PartToIndividualPartAssociation to Class (as role);PATH;;;"Product_design_to_individual
/TYPEINFO_AS_Class(Product_design_to_individual, 'role')/"
;PartToIndividualPartAssociation to ClassString (as role);PATH;;;"Product_design_to_individual
/TYPEINFO_AS_Class(Product_design_to_individual, 'role')/"
;PartToIndividualPartAssociation to ExternalClass (as role);PATH;;;"Product_design_to_individual
/TYPEINFO_AS_ExternalClass(Product_design_to_individual, 'role')/"
;PartToIndividualPartAssociation to ExternalOwlClass (as role);PATH;;;"Product_design_to_individual
/TYPEINFO_AS_ExternalOwlClass(Product_design_to_individual, 'role')/"
PartVersionToIndividualPartVersionAssociation;;Product_design_version_to_individual;ISO 10303-442;;
;PartVersionToIndividualPartVersionAssociation to IndividualPartVersion (as associatedInduvidualPart);PATH;;;"Product_design_version_to_individual
Product_design_version_to_individual.individual_product -> 
Product_as_individual_version"
;PartVersionToIndividualPartVersionAssociation to PartVersion (as associatedPart);PATH;;;"Product_design_version_to_individual
Product_design_version_to_individual.product_design_version -> 
Product_version"
;PartVersionToIndividualPartVersionAssociation to ProductConfiguration (as associatedPart);PATH;;;"Product_design_version_to_individual
Product_design_version_to_individual.product_design_version -> 
Product_configuration"
;PartVersionToIndividualPartVersionAssociation to Classification (as classifiedAs);PATH;;;"Product_design_version_to_individual
/classifiedAs_AS_Classification(Product_design_version_to_individual)/"
;PartVersionToIndividualPartVersionAssociation to CharacterString (as description);PATH;;;"Product_design_version_to_individual
/classifiedAs_AS_Classification(Product_design_version_to_individual)/"
;PartVersionToIndividualPartVersionAssociation to Descriptor (as description);PATH;;;"Product_design_version_to_individual
/description_AS_Descriptor(Product_design_version_to_individual)/"
;PartVersionToIndividualPartVersionAssociation to DescriptorSet (as description);PATH;;;"Product_design_version_to_individual
/description_AS_DescriptorSet(Product_design_version_to_individual)/"
;PartVersionToIndividualPartVersionAssociation to LocalizedString (as description);PATH;;;"Product_design_version_to_individual
/description_AS_LocalizedString(Product_design_version_to_individual)/"
;PartVersionToIndividualPartVersionAssociation to TranslatedStringSet (as description);PATH;;;"Product_design_version_to_individual
/description_AS_TranslatedStringSet(Product_design_version_to_individual)/"
;PartVersionToIndividualPartVersionAssociation to Class (as role);PATH;;;"Product_design_version_to_individual
/TYPEINFO_AS_Class(Product_design_version_to_individual, 'role')/"
;PartVersionToIndividualPartVersionAssociation to ClassString (as role);PATH;;;"Product_design_version_to_individual
/TYPEINFO_AS_Class(Product_design_version_to_individual, 'role')/"
;PartVersionToIndividualPartVersionAssociation to ExternalClass (as role);PATH;;;"Product_design_version_to_individual
/TYPEINFO_AS_ExternalClass(Product_design_version_to_individual, 'role')/"
;PartVersionToIndividualPartVersionAssociation to ExternalOwlClass (as role);PATH;;;"Product_design_version_to_individual
/TYPEINFO_AS_ExternalOwlClass(Product_design_version_to_individual, 'role')/"
PartViewToIndividualPartViewAssociation;; Product_design_view_to_individual;ISO 10303-442;;
;PartViewToIndividualPartViewAssociation to IndividualPartView (as associatedInduvidualPart);PATH;;;"Product_design_view_to_individual
Product_design_view_to_individual.product_as_individual_view -> 
Product_as_individual_view"
;PartViewToIndividualPartViewAssociation to PartView (as associatedPart);PATH;;;"Product_design_view_to_individual
Product_design_view_to_individual.product_view_definition -> 
Product_view_definition"
;PartViewToIndividualPartViewAssociation to ProductConfiguration (as associatedPart);PATH;;;"Product_design_view_to_individual
Product_design_view_to_individual.product_view_definition -> 
Product_configuration"
;PartViewToIndividualPartViewAssociation to Classification (as classifiedAs);PATH;;;"Product_design_view_to_individual
/classifiedAs_AS_Classification(Product_design_view_to_individual)/"
;PartViewToIndividualPartViewAssociation to CharacterString (as description);PATH;;;"Product_design_view_to_individual
/classifiedAs_AS_Classification(Product_design_view_to_individual)/"
;PartViewToIndividualPartViewAssociation to Descriptor (as description);PATH;;;"Product_design_view_to_individual
/description_AS_Descriptor(Product_design_view_to_individual)/"
;PartViewToIndividualPartViewAssociation to DescriptorSet (as description);PATH;;;"Product_design_view_to_individual
/description_AS_DescriptorSet(Product_design_view_to_individual)/"
;PartViewToIndividualPartViewAssociation to LocalizedString (as description);PATH;;;"Product_design_view_to_individual
/description_AS_LocalizedString(Product_design_view_to_individual)/"
;PartViewToIndividualPartViewAssociation to TranslatedStringSet (as description);PATH;;;"Product_design_view_to_individual
/description_AS_TranslatedStringSet(Product_design_view_to_individual)/"
;PartViewToIndividualPartViewAssociation to Class (as role);PATH;;;"Product_design_view_to_individual
/TYPEINFO_AS_Class(Product_design_view_to_individual, 'role')/"
;PartViewToIndividualPartViewAssociation to ClassString (as role);PATH;;;"Product_design_view_to_individual
/TYPEINFO_AS_Class(Product_design_view_to_individual, 'role')/"
;PartViewToIndividualPartViewAssociation to ExternalClass (as role);PATH;;;"Product_design_view_to_individual
/TYPEINFO_AS_ExternalClass(Product_design_view_to_individual, 'role')/"
;PartViewToIndividualPartViewAssociation to ExternalOwlClass (as role);PATH;;;"Product_design_view_to_individual
/TYPEINFO_AS_ExternalOwlClass(Product_design_view_to_individual, 'role')/"
PlannedIndividualPart;;Product_as_planned;ISO 10303-442;;"Product_as_planned <=
Product_as_individual_version <=
Product_version"
ProductPlannedToRealized;;Product_planned_to_realized;ISO 10303-442;;
;ProductPlannedToRealized to RealizedIndividualPart (as related);PATH;;;"Product_planned_to_realized
Product_planned_to_realized.realized_product ->
Product_as_realized"
;ProductPlannedToRealized to PlannedIndividualPart (as relating);PATH;;;"Product_planned_to_realized
Product_planned_to_realized.planned_product -> 
Product_as_planned"
RealizedIndividualPart;;Product_as_realized;ISO 10303-442;;"Product_as_realized <=
Product_as_individual_version <=
Product_version"
