"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"WorkRequestAssignment to Breakdown (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to BreakdownElement (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to BreakdownElementVersion (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to BreakdownElementView (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to BreakdownElementViewRelationship (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to BreakdownVersion (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to Contract (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to Document (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to DocumentDefinition (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to DocumentDefinitionRelationship (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to DocumentVersion (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to File (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to IndividualPart (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to IndividualPartVersion (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to IndividualPartView (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to IndividualPartViewRelationship (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to Organization (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to Part (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to PartVersion (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to PartView (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to PartViewRelationship (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to Person (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to PersonInOrganization (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to ProductConfiguration (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to Project (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to Requirement (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to RequirementVersion (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to RequirementView (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to RequirementViewRelationship (as assignedTo)";"";"";"";""
"";"WorkRequestAssignment to WorkRequest (as assignedWorkRequest)";"";"";"";""
"";"WorkRequestAssignment to Classification (as classifiedAs)";"";"";"";""
"";"WorkRequestAssignment to CharacterString (as description)";"";"";"";""
"";"WorkRequestAssignment to Descriptor (as description)";"";"";"";""
"";"WorkRequestAssignment to DescriptorSet (as description)";"";"";"";""
"";"WorkRequestAssignment to LocalizedString (as description)";"";"";"";""
"";"WorkRequestAssignment to TranslatedStringSet (as description)";"";"";"";""
"";"WorkRequestAssignment to Identifier (as id)";"";"";"";""
"";"WorkRequestAssignment to IdentifierSet (as id)";"";"";"";""
"";"WorkRequestAssignment to IdentifierString (as id)";"";"";"";""
"";"WorkRequestAssignment to Class (as role)";"";"";"";""
"";"WorkRequestAssignment to ClassString (as role)";"";"";"";""
"";"WorkRequestAssignment to ExternalClass (as role)";"";"";"";""
"";"WorkRequestAssignment to ExternalOwlClass (as role)";"";"";"";""
"WorkRequestRelationship";"";"";"";"";""
"";"WorkRequestRelationship to Classification (as classifiedAs)";"";"";"";""
"";"WorkRequestRelationship to CharacterString (as description)";"";"";"";""
"";"WorkRequestRelationship to Descriptor (as description)";"";"";"";""
"";"WorkRequestRelationship to DescriptorSet (as description)";"";"";"";""
"";"WorkRequestRelationship to LocalizedString (as description)";"";"";"";""
"";"WorkRequestRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"WorkRequestRelationship to Identifier (as id)";"";"";"";""
"";"WorkRequestRelationship to IdentifierSet (as id)";"";"";"";""
"";"WorkRequestRelationship to IdentifierString (as id)";"";"";"";""
"";"WorkRequestRelationship to WorkRequest (as related)";"";"";"";""
"";"WorkRequestRelationship to WorkRequest (as relating)";"";"";"";""
"";"WorkRequestRelationship to Class (as relationType)";"";"";"";""
"";"WorkRequestRelationship to ClassString (as relationType)";"";"";"";""
"";"WorkRequestRelationship to ExternalClass (as relationType)";"";"";"";""
"";"WorkRequestRelationship to ExternalOwlClass (as relationType)";"";"";"";""
