"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"DocumentAssignment to WorkOrderAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to WorkRequest (as assignedTo)";"";"";"";""
"";"DocumentAssignment to WorkRequestAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Classification (as classifiedAs)";"";"";"";""
"";"DocumentAssignment to CharacterString (as description)";"";"";"";""
"";"DocumentAssignment to Descriptor (as description)";"";"";"";""
"";"DocumentAssignment to DescriptorSet (as description)";"";"";"";""
"";"DocumentAssignment to LocalizedString (as description)";"";"";"";""
"";"DocumentAssignment to TranslatedStringSet (as description)";"";"";"";""
"";"DocumentAssignment to CharacterString (as documentPortion)";"";"";"";""
"";"DocumentAssignment to LocalizedString (as documentPortion)";"";"";"";""
"";"DocumentAssignment to TranslatedStringSet (as documentPortion)";"";"";"";""
"";"DocumentAssignment to Identifier (as id)";"";"";"";""
"";"DocumentAssignment to IdentifierSet (as id)";"";"";"";""
"";"DocumentAssignment to IdentifierString (as id)";"";"";"";""
"";"DocumentAssignment to Class (as role)";"";"";"";""
"";"DocumentAssignment to ClassString (as role)";"";"";"";""
"";"DocumentAssignment to ExternalClass (as role)";"";"";"";""
"";"DocumentAssignment to ExternalOwlClass (as role)";"";"";"";""
"DocumentRelationship";"";"";"";"";""
"";"DocumentRelationship to Classification (as classifiedAs)";"";"";"";""
"";"DocumentRelationship to CharacterString (as description)";"";"";"";""
"";"DocumentRelationship to Descriptor (as description)";"";"";"";""
"";"DocumentRelationship to DescriptorSet (as description)";"";"";"";""
"";"DocumentRelationship to LocalizedString (as description)";"";"";"";""
"";"DocumentRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"DocumentRelationship to Identifier (as id)";"";"";"";""
"";"DocumentRelationship to IdentifierSet (as id)";"";"";"";""
"";"DocumentRelationship to IdentifierString (as id)";"";"";"";""
"";"DocumentRelationship to Document (as related)";"";"";"";""
"";"DocumentRelationship to Document (as relating)";"";"";"";""
"";"DocumentRelationship to Class (as relationType)";"";"";"";""
"";"DocumentRelationship to ClassString (as relationType)";"";"";"";""
"";"DocumentRelationship to ExternalClass (as relationType)";"";"";"";""
"";"DocumentRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"DocumentVersion";"";"";"";"";""
"";"DocumentVersion to Classification (as classifiedAs)";"";"";"";""
"";"DocumentVersion to CharacterString (as description)";"";"";"";""
"";"DocumentVersion to Descriptor (as description)";"";"";"";""
"";"DocumentVersion to DescriptorSet (as description)";"";"";"";""
